level	processor
120	CPU Processor 0x1d00000000000010
64	CPU Processor 0x1d00000000000006
71	CPU Processor 0x1d00000000000007
82	CPU Processor 0x1d0000000000000a
118	CPU Processor 0x1d0000000000000f
6	Utility Processor 0x1d00000000000000
110	CPU Processor 0x1d0000000000000d
11	CPU Processor 0x1d00000000000001
78	CPU Processor 0x1d00000000000009
115	CPU Processor 0x1d0000000000000e
18	CPU Processor 0x1d00000000000002
104	CPU Processor 0x1d0000000000000c
52	CPU Processor 0x1d00000000000003
74	CPU Processor 0x1d00000000000008
55	CPU Processor 0x1d00000000000004
58	CPU Processor 0x1d00000000000005
97	CPU Processor 0x1d0000000000000b
124	System Memory 0x1e00000000000000 to System Memory 0x1e00000000000000 Channel
138	System Memory 0x1e00000000000000
