level	processor
851	CPU Processor 0x1d00010000000005
1109	CPU Processor 0x1d00060000000001
858	CPU Processor 0x1d00010000000006
1144	CPU Processor 0x1d00060000000007
865	CPU Processor 0x1d00010000000007
1115	CPU Processor 0x1d00060000000002
1127	CPU Processor 0x1d00060000000004
872	CPU Processor 0x1d00010000000008
1206	CPU Processor 0x1d00070000000008
1021	CPU Processor 0x1d00040000000005
880	Utility Processor 0x1d00020000000000
1194	CPU Processor 0x1d00070000000006
887	CPU Processor 0x1d00020000000001
991	Utility Processor 0x1d00040000000000
893	CPU Processor 0x1d00020000000002
898	CPU Processor 0x1d00020000000003
1053	CPU Processor 0x1d00050000000001
904	CPU Processor 0x1d00020000000004
910	CPU Processor 0x1d00020000000005
1027	CPU Processor 0x1d00040000000006
917	CPU Processor 0x1d00020000000006
1102	Utility Processor 0x1d00060000000000
924	CPU Processor 0x1d00020000000007
998	CPU Processor 0x1d00040000000001
931	CPU Processor 0x1d00020000000008
1133	CPU Processor 0x1d00060000000005
1121	CPU Processor 0x1d00060000000003
937	Utility Processor 0x1d00030000000000
1201	CPU Processor 0x1d00070000000007
965	CPU Processor 0x1d00030000000005
944	CPU Processor 0x1d00030000000001
1139	CPU Processor 0x1d00060000000006
949	CPU Processor 0x1d00030000000002
1033	CPU Processor 0x1d00040000000007
954	CPU Processor 0x1d00030000000003
1086	CPU Processor 0x1d00050000000007
959	CPU Processor 0x1d00030000000004
1188	CPU Processor 0x1d00070000000005
1004	CPU Processor 0x1d00040000000002
698	Utility Processor 0x1d00000000000000
1080	CPU Processor 0x1d00050000000006
727	CPU Processor 0x1d00000000000001
1182	CPU Processor 0x1d00070000000004
971	CPU Processor 0x1d00030000000006
730	CPU Processor 0x1d00000000000002
1075	CPU Processor 0x1d00050000000005
732	CPU Processor 0x1d00000000000003
1176	CPU Processor 0x1d00070000000003
1040	CPU Processor 0x1d00040000000008
736	CPU Processor 0x1d00000000000004
1069	CPU Processor 0x1d00050000000004
791	CPU Processor 0x1d00000000000005
1170	CPU Processor 0x1d00070000000002
1010	CPU Processor 0x1d00040000000003
794	CPU Processor 0x1d00000000000006
1093	CPU Processor 0x1d00050000000008
1063	CPU Processor 0x1d00050000000003
807	CPU Processor 0x1d00000000000007
1164	CPU Processor 0x1d00070000000001
977	CPU Processor 0x1d00030000000007
812	CPU Processor 0x1d00000000000008
1058	CPU Processor 0x1d00050000000002
822	Utility Processor 0x1d00010000000000
1157	Utility Processor 0x1d00070000000000
1046	Utility Processor 0x1d00050000000000
829	CPU Processor 0x1d00010000000001
834	CPU Processor 0x1d00010000000002
1151	CPU Processor 0x1d00060000000008
1016	CPU Processor 0x1d00040000000004
839	CPU Processor 0x1d00010000000003
845	CPU Processor 0x1d00010000000004
984	CPU Processor 0x1d00030000000008
1285	System Memory 0x1e00010000000000 to System Memory 0x1e00010000000000 Channel
1723	System Memory 0x1e00070000000000 to System Memory 0x1e00060000000000 Channel
1272	System Memory 0x1e00000000000000 to System Memory 0x1e00070000000000 Channel
1622	System Memory 0x1e00060000000000 to System Memory 0x1e00020000000000 Channel
1254	System Memory 0x1e00000000000000 to System Memory 0x1e00050000000000 Channel
1640	System Memory 0x1e00060000000000 to System Memory 0x1e00040000000000 Channel
1566	System Memory 0x1e00050000000000 to System Memory 0x1e00030000000000 Channel
1504	System Memory 0x1e00040000000000 to System Memory 0x1e00040000000000 Channel
1540	System Memory 0x1e00050000000000 to System Memory 0x1e00000000000000 Channel
1613	System Memory 0x1e00060000000000 to System Memory 0x1e00010000000000 Channel
1345	System Memory 0x1e00020000000000 to System Memory 0x1e00000000000000 Channel
1491	System Memory 0x1e00040000000000 to System Memory 0x1e00020000000000 Channel
1500	System Memory 0x1e00040000000000 to System Memory 0x1e00030000000000 Channel
1430	System Memory 0x1e00030000000000 to System Memory 0x1e00030000000000 Channel
1522	System Memory 0x1e00040000000000 to System Memory 0x1e00060000000000 Channel
1548	System Memory 0x1e00050000000000 to System Memory 0x1e00010000000000 Channel
1281	System Memory 0x1e00010000000000 to System Memory 0x1e00000000000000 Channel
1439	System Memory 0x1e00030000000000 to System Memory 0x1e00040000000000 Channel
